# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jun 19 16:49:47 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_letter like '%b%'
# CONSTRAINT:  and pl_pnum = 1
# CONSTRAINT:  and st_diststr < 50)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_orblper:     Long. of Periastron [deg]
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,gaia_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_orblper,pl_facility
bet UMi,b,bet UMi b,Radial Velocity,0,1,522.30000000,1.400000,0.190000,,6.10000,Msini,,,0,0,0,0,14h50m42.33s,222.676361,+74d09m19.8s,74.155502,38.78,,2.080,V (Johnson),,4126.00,1.40,38.30,2014-05-14,307.4000,Bohyunsan Optical Astronomical Observatory
HD 108147,b,HD 108147 b,Radial Velocity,0,1,10.89850000,0.102000,0.530000,,0.26100,Msini,,,0,0,0,0,12h25m46.27s,186.442780,-64d01m19.5s,-64.022087,38.96,38.96,6.995,V (Johnson),6.853,6265.00,1.27,,2014-05-14,308.0000,La Silla Observatory
HD 203030,b,HD 203030 b,Imaging,0,1,,487.100000,,,24.09000,Mass,,,0,0,0,1,21h18m58.22s,319.742584,+26d13m50.0s,26.230545,39.29,39.29,8.425,V (Johnson),8.247,,,,2014-05-14,,Palomar Observatory
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,1,,156.000000,,,13.90000,Mass,1.440,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,40.09,,,15.012,3064.00,0.11,0.28,2015-05-14,,Cerro Tololo Inter-American Observatory
HD 164604,b,HD 164604 b,Radial Velocity,0,1,641.47200000,1.331000,0.350000,,1.99792,Msini,,,0,0,0,0,18h03m06.94s,270.778900,-28d33m38.3s,-28.560644,39.41,39.41,9.700,V (Johnson),9.328,4684.00,0.77,,2019-05-23,65.4000,Las Campanas Observatory
HD 28185,b,HD 28185 b,Radial Velocity,0,1,379.00000000,1.020000,0.050000,,5.90000,Msini,,,0,0,0,0,04h26m26.32s,66.609673,-10d33m03.0s,-10.550821,39.43,39.43,7.810,V (Johnson),7.627,5662.00,1.02,1.03,2018-09-06,,La Silla Observatory
HD 102117,b,HD 102117 b,Radial Velocity,0,1,20.81330000,0.150000,0.120000,,0.17000,Msini,,,0,0,0,1,11h44m50.46s,176.210251,-58d42m13.4s,-58.703709,39.62,39.62,7.470,V (Johnson),7.282,5655.00,1.06,1.23,2018-09-06,,La Silla Observatory
HD 196067,b,HD 196067 b,Radial Velocity,0,1,3638.00000000,5.020000,0.660000,,6.90000,Msini,,,0,0,0,0,20h41m44.09s,310.433716,-75d21m02.9s,-75.350800,39.98,39.98,6.030,V (Johnson),6.326,6017.00,1.29,1.73,2014-05-14,148.2000,La Silla Observatory
HD 114762,b,HD 114762 b,Radial Velocity,0,1,83.91510000,0.360000,0.340000,,10.69000,Msini,,,0,0,0,0,13h12m19.74s,198.082260,+17d31m01.6s,17.517122,40.23,40.23,7.301,V (Johnson),7.140,5869.00,0.80,1.20,2018-09-06,,Oak Ridge Observatory
HD 175607,b,HD 175607 b,Radial Velocity,0,1,29.01000000,,0.110000,,0.02825,Msini,,,0,0,0,0,19h01m05.49s,285.272858,-66d11m33.6s,-66.192680,40.38,40.38,8.610,V (Johnson),8.410,5392.00,0.71,0.70,2015-11-19,142.0000,La Silla Observatory
HD 137388,b,HD 137388 b,Radial Velocity,0,1,330.00000000,0.890000,0.360000,,0.20000,Msini,,,0,0,0,0,15h35m39.93s,233.916367,-80d12m16.5s,-80.204590,40.53,40.53,8.696,V (Johnson),8.480,5181.00,0.68,0.88,2018-09-06,,La Silla Observatory
HD 213240,b,HD 213240 b,Radial Velocity,0,1,882.70001000,1.890000,0.420000,,5.58000,Msini,,,0,0,0,0,22h31m00.37s,337.751526,-49d25m59.8s,-49.433270,40.92,40.92,6.814,V (Johnson),6.658,5979.00,1.57,1.51,2018-09-06,,La Silla Observatory
HD 83443,b,HD 83443 b,Radial Velocity,0,1,2.98570000,0.040000,0.010000,,0.34000,Msini,,,0,0,0,1,09h37m11.83s,144.299286,-43d16m19.9s,-43.272205,40.95,40.95,8.222,V (Johnson),8.026,5442.00,0.79,0.94,2018-09-06,,Multiple Observatories
HD 178911 B,b,HD 178911 B b,Radial Velocity,0,1,71.48400000,0.340000,0.110000,,8.03000,Msini,,,0,0,0,0,19h09m03.11s,287.262939,+34d35m59.5s,34.599850,41.02,41.02,7.792,V (Johnson),7.867,5588.00,1.24,1.08,2018-09-06,,W. M. Keck Observatory
HD 103720,b,HD 103720 b,Radial Velocity,0,1,4.55570000,0.049800,0.086000,,0.62000,Msini,,,0,0,0,0,11h56m41.18s,179.171600,-02d46m44.2s,-2.778953,41.60,45.60,9.490,V (Johnson),9.224,5017.00,0.79,0.73,2015-01-08,262.0000,La Silla Observatory
HD 168746,b,HD 168746 b,Radial Velocity,0,1,6.40400000,0.070000,0.110000,,0.27000,Msini,,,0,0,0,0,18h21m49.78s,275.457428,-11d55m21.7s,-11.922684,41.62,41.62,7.946,V (Johnson),7.772,5570.00,1.07,1.09,2018-09-06,,La Silla Observatory
HD 121504,b,HD 121504 b,Radial Velocity,0,1,63.33000000,0.330000,0.030000,,1.51000,Msini,,,0,0,0,0,13h57m17.24s,209.321823,-56d02m24.2s,-56.040043,41.71,41.71,7.517,V (Johnson),7.390,6027.00,1.62,1.07,2018-09-06,,La Silla Observatory
HD 4113,b,HD 4113 b,Radial Velocity,0,1,526.62000000,1.280000,0.903000,,1.56000,Msini,,,0,0,0,0,00h43m12.60s,10.802486,-37d58m57.5s,-37.982632,41.92,41.92,7.881,V (Johnson),7.711,5688.00,0.99,,2014-12-03,-42.3000,La Silla Observatory
HD 222582,b,HD 222582 b,Radial Velocity,0,1,572.38000000,1.340000,0.730000,,8.37000,Msini,,,0,0,0,0,23h41m51.53s,355.464722,-05d59m08.7s,-5.985757,42.21,42.21,7.680,V (Johnson),7.519,5790.00,1.12,1.13,2018-09-06,,W. M. Keck Observatory
HD 98649,b,HD 98649 b,Radial Velocity,0,1,6022.97250000,6.570000,0.860000,,6.79000,Msini,,,0,0,0,0,11h20m51.77s,170.215698,-23d13m02.4s,-23.217342,42.22,42.22,8.000,V (Johnson),7.829,5790.00,1.03,1.01,2019-04-11,252.6100,La Silla Observatory
HD 210193,b,HD 210193 b,Radial Velocity,0,1,649.91800000,1.487000,0.240000,,0.48170,Msini,,,0,0,0,0,22h09m34.61s,332.394226,-41d13m29.6s,-41.224892,42.25,42.25,7.823,V (Johnson),,5790.00,1.04,,2019-05-23,168.8400,Las Campanas Observatory
HD 6434,b,HD 6434 b,Radial Velocity,0,1,21.99800000,0.140000,0.170000,,0.49000,Msini,,,0,0,0,0,01h04m40.15s,16.167295,-39d29m17.6s,-39.488216,42.41,42.41,7.710,V (Johnson),7.561,5769.00,1.10,1.12,2018-09-06,,La Silla Observatory
HD 41004 A,b,HD 41004 A b,Radial Velocity,0,1,963.00000000,,0.740000,,2.54000,Msini,,,0,0,0,1,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693,43.03,,8.650,V (Johnson),,5010.00,0.70,,2014-12-03,97.0000,La Silla Observatory
HD 41004 B,b,HD 41004 B b,Radial Velocity,0,1,1.32830000,,0.081000,,18.37000,Msini,,,0,0,0,0,05h59m49.65s,89.956886,-48d14m23.4s,-48.239841,43.03,,,,,,0.40,,2014-12-03,178.5000,La Silla Observatory
HD 49674,b,HD 49674 b,Radial Velocity,0,1,4.94737000,0.060000,0.090000,,0.10000,Msini,,,0,0,0,0,06h51m30.52s,102.877151,+40d52m03.9s,40.867756,43.09,43.09,8.100,V (Johnson),7.918,5602.00,1.03,1.02,2018-09-06,,W. M. Keck Observatory
HD 13724,b,HD 13724 b,Radial Velocity,0,1,14763.40500000,12.400000,0.340000,,26.77000,Msini,,,0,0,0,0,02h12m20.68s,33.086163,-46d48m59.0s,-46.816387,43.52,43.52,7.890,V (Johnson),7.730,5868.00,1.14,1.07,2019-04-11,187.5000,La Silla Observatory
HD 92987,b,HD 92987 b,Radial Velocity,0,1,10354.83750000,9.620000,0.210000,,16.88000,Msini,,,0,0,0,1,10h43m36.27s,160.901108,-39d03m30.3s,-39.058426,43.59,43.59,7.030,V (Johnson),6.860,5770.00,1.08,1.58,2019-04-11,195.1000,La Silla Observatory
HD 208487,b,HD 208487 b,Radial Velocity,0,1,130.08000000,0.524000,0.240000,,0.52000,Msini,,,0,0,0,0,21h57m19.85s,329.332703,-37d45m49.0s,-37.763622,44.00,45.21,7.471,V (Johnson),7.332,6067.00,1.13,,2014-11-05,113.0000,Anglo-Australian Telescope
91 Aqr,b,91 Aqr b,Radial Velocity,0,1,181.40000000,0.700000,0.027000,,3.20000,Msini,,,0,0,0,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,44.08,44.08,4.250,V (Johnson),3.863,4665.00,1.40,11.00,2014-05-14,177.3000,Lick Observatory
HD 17674,b,HD 17674 b,Radial Velocity,0,1,623.80000000,1.420000,0.130000,,0.87000,Msini,,,0,0,0,0,02h51m04.28s,42.767853,+30d17m12.3s,30.286739,44.48,44.48,7.560,V (Johnson),7.401,5904.00,0.98,1.18,2017-03-02,,Haute-Provence Observatory
Wolf 503,b,Wolf 503 b,Transit,0,1,6.00118000,0.057100,,,,,0.181,,0,0,1,0,13h47m23.44s,206.847687,-06d08m12.7s,-6.136875,44.58,44.58,10.260,V (Johnson),9.898,4716.00,0.69,0.69,2018-09-06,,K2
30 Ari B,b,30 Ari B b,Radial Velocity,0,1,335.10001000,0.990000,0.290000,,13.82000,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,44.71,6.962,V (Johnson),6.961,6331.00,1.93,1.41,2018-09-06,,Thueringer Landessternwarte Tautenburg
HD 171238,b,HD 171238 b,Radial Velocity,0,1,1532.00000000,2.570000,0.234000,,2.72000,Msini,,,0,0,0,0,18h34m43.67s,278.681976,-28d04m20.3s,-28.072313,44.87,44.87,8.610,V (Johnson),8.411,5440.00,0.96,1.01,2018-09-27,97.0000,La Silla Observatory
HD 8574,b,HD 8574 b,Radial Velocity,0,1,227.00000000,0.760000,0.300000,,2.03000,Msini,,,0,0,0,0,01h25m12.52s,21.302153,+28d34m00.1s,28.566692,44.88,44.88,7.112,V (Johnson),6.983,6064.00,1.34,1.38,2018-09-06,,Haute-Provence Observatory
K2-25,b,K2-25 b,Transit,0,1,3.48455200,,0.270000,88.300,,,0.306,,0,0,1,0,04h13m05.62s,63.273434,+15d14m51.9s,15.247763,45.01,45.01,15.881,V (Johnson),14.382,3180.00,0.29,0.29,2017-09-28,62.0000,K2
HD 285507,b,HD 285507 b,Radial Velocity,0,1,6.08810000,0.060000,0.090000,,0.98000,Msini,,,0,0,0,0,04h07m01.22s,61.755104,+15d20m06.1s,15.335032,45.09,45.09,10.267,V (Johnson),10.040,4503.00,0.82,0.69,2018-09-06,,Fred Lawrence Whipple Observatory
HD 166724,b,HD 166724 b,Radial Velocity,0,1,5144.00000000,5.420000,0.734000,,3.53000,Msini,,,0,0,0,0,18h13m59.68s,273.498657,-42d34m31.3s,-42.575375,45.19,45.19,9.344,V (Johnson),9.069,5127.00,0.81,,2014-05-14,202.3000,La Silla Observatory
HD 330075,b,HD 330075 b,Radial Velocity,0,1,3.38773000,0.040000,0.000000,,0.48000,Msini,,,0,0,0,0,15h49m37.69s,237.407043,-49d57m48.7s,-49.963524,45.36,45.36,9.334,V (Johnson),9.092,5000.00,0.47,0.84,2018-09-06,,La Silla Observatory
HD 70573,b,HD 70573 b,Radial Velocity,0,1,851.80000000,1.760000,0.400000,,6.10000,Msini,,,0,0,0,0,08h22m49.95s,125.708135,+01d51m33.6s,1.859323,45.70,59.28,11.424,V (Johnson),8.543,5737.00,1.00,,2015-03-26,269.6000,La Silla Observatory
HD 86226,b,HD 86226 b,Radial Velocity,0,1,1695.00000000,2.840000,0.150000,,0.92000,Msini,,,0,0,0,0,09h56m29.85s,149.124359,-24d05m57.8s,-24.099390,45.74,45.74,7.932,V (Johnson),7.771,5903.00,1.06,1.02,2014-05-14,193.0000,Las Campanas Observatory
HIP 91258,b,HIP 91258 b,Radial Velocity,0,1,5.05050000,0.060000,0.020000,,1.09000,Msini,,,0,0,0,0,18h36m53.15s,279.221466,+61d42m09.0s,61.702503,45.95,45.95,8.646,V (Johnson),8.450,5519.00,0.97,0.89,2018-09-06,,Haute-Provence Observatory
HD 187085,b,HD 187085 b,Radial Velocity,0,1,986.00000000,2.050000,0.470000,,0.75000,Msini,,,0,0,0,0,19h49m33.97s,297.391541,-37d46m50.0s,-37.780552,45.96,45.96,7.214,V (Johnson),7.075,6075.00,1.22,,2014-07-23,94.0000,Anglo-Australian Telescope
HD 77338,b,HD 77338 b,Radial Velocity,0,1,5.73610000,0.060000,0.090000,,0.06000,Msini,,,0,0,0,0,09h01m12.50s,135.302063,-25d31m37.4s,-25.527061,46.00,46.00,8.591,V (Johnson),8.410,5341.00,1.37,0.97,2018-09-06,,La Silla Observatory
HD 24040,b,HD 24040 b,Radial Velocity,0,1,3668.00000000,4.920000,0.040000,,3.86000,Msini,,,0,0,0,0,03h50m22.97s,57.595699,+17d28m34.9s,17.476366,46.68,46.68,7.493,V (Johnson),7.335,5802.00,1.11,1.30,2018-09-06,,W. M. Keck Observatory
HD 220689,b,HD 220689 b,Radial Velocity,0,1,2209.00000000,3.360000,0.160000,,1.06000,Msini,,,0,0,0,0,23h25m52.99s,351.470795,-20d36m57.7s,-20.616030,46.94,46.94,7.758,V (Johnson),7.594,5921.00,1.04,1.07,2014-05-14,137.0000,La Silla Observatory
HD 45350,b,HD 45350 b,Radial Velocity,0,1,963.60000000,1.920000,0.778000,,1.79000,Msini,,,0,0,0,0,06h28m45.71s,97.190460,+38d57m46.7s,38.962963,46.94,46.94,7.885,V (Johnson),7.700,5616.00,1.02,,2014-09-18,343.4000,W. M. Keck Observatory
HD 133131 B,b,HD 133131 B b,Radial Velocity,0,1,5769.00000000,6.150000,0.610000,,2.50000,Msini,,,0,0,0,1,15h03m35.81s,225.899200,-27d50m27.6s,-27.840994,47.00,51.37,8.420,V (Johnson),8.257,5805.00,0.93,,2016-09-08,103.0000,Las Campanas Observatory
HD 13931,b,HD 13931 b,Radial Velocity,0,1,4218.00000000,5.150000,0.020000,,2.20000,Msini,,,0,0,0,0,02h16m47.38s,34.197414,+43d46m22.8s,43.772995,47.46,47.46,7.597,V (Johnson),7.455,5867.00,1.30,1.25,2018-09-06,,W. M. Keck Observatory
HD 20868,b,HD 20868 b,Radial Velocity,0,1,380.85001000,0.950000,0.750000,,1.25000,Msini,,,0,0,0,0,03h20m42.69s,50.177895,-33d43m48.4s,-33.730103,47.79,47.79,9.920,V (Johnson),9.613,4802.00,0.39,0.76,2018-09-06,,La Silla Observatory
HD 156846,b,HD 156846 b,Radial Velocity,0,1,359.51001000,1.120000,0.850000,,10.67000,Msini,,,0,0,0,0,17h20m34.31s,260.142944,-19d20m01.5s,-19.333746,47.80,47.80,6.506,V (Johnson),6.358,6090.00,1.38,1.90,2018-09-06,,La Silla Observatory
HD 181234,b,HD 181234 b,Radial Velocity,0,1,7462.05750000,7.520000,0.730000,,8.37000,Msini,,,0,0,0,0,19h20m00.10s,290.000397,-09d19m25.0s,-9.323601,47.81,47.81,8.590,V (Johnson),8.369,5386.00,1.01,1.05,2019-04-11,93.3000,La Silla Observatory
GU Psc,b,GU Psc b,Imaging,0,1,,2000.000000,,,11.30000,Mass,1.265,,0,0,0,0,01h12m35.04s,18.146006,+17d03m55.7s,17.065475,48.00,47.61,13.550,V (Johnson),12.966,,0.33,,2014-05-14,,Gemini Observatory
HD 209458,b,HD 209458 b,Radial Velocity,0,1,3.52474859,,0.000000,86.710,0.73000,Mass,1.390,,0,0,0,2,22h03m10.77s,330.794891,+18d53m03.5s,18.884319,48.37,48.37,7.632,V (Johnson),7.509,6091.00,1.23,1.19,2018-12-06,,W. M. Keck Observatory
HD 153950,b,HD 153950 b,Radial Velocity,0,1,499.39999000,1.280000,0.340000,,2.95000,Msini,,,0,0,0,0,17h04m30.87s,256.128632,-43d18m35.2s,-43.309769,48.52,48.52,7.390,V (Johnson),7.238,6124.00,1.25,1.28,2018-09-06,,La Silla Observatory
HD 143105,b,HD 143105 b,Radial Velocity,0,1,2.19740000,0.037900,0.070000,,1.21000,Msini,,,0,0,0,0,15h53m36.56s,238.402328,+68d43m12.4s,68.720116,48.70,46.84,6.750,V (Johnson),6.626,6380.00,1.51,,2016-02-25,,Haute-Provence Observatory
HD 220773,b,HD 220773 b,Radial Velocity,0,1,3724.70000000,4.940000,0.510000,,1.45000,Msini,,,0,0,0,0,23h26m27.44s,351.614349,+08d38m37.8s,8.643845,49.00,50.58,7.093,V (Johnson),6.946,5940.00,1.16,,2019-01-31,259.0000,McDonald Observatory
HD 79498,b,HD 79498 b,Radial Velocity,0,1,1807.00000000,2.980000,0.575000,,1.34000,Msini,,,0,0,0,0,09h15m09.40s,138.789169,+23d22m32.0s,23.375549,49.02,49.02,8.050,V (Johnson),7.886,5748.00,1.08,1.05,2018-09-27,226.8000,McDonald Observatory
eps Tau,b,eps Tau b,Radial Velocity,0,1,594.90000000,1.930000,0.151000,,7.60000,Msini,,,0,0,0,0,04h28m37.00s,67.154167,+19d10m49.6s,19.180431,49.23,49.23,3.540,V (Johnson),3.159,4901.00,2.70,13.70,2019-01-31,94.4000,Okayama Astrophysical Observatory
HD 108341,b,HD 108341 b,Radial Velocity,0,1,1129.00000000,2.000000,0.850000,,3.50000,Msini,,,0,0,0,0,12h27m31.39s,186.880798,-71d25m22.7s,-71.422974,49.40,48.98,9.360,V (Johnson),9.143,5122.00,0.84,0.79,2015-01-08,190.0000,La Silla Observatory
BD+14 4559,b,BD+14 4559 b,Radial Velocity,0,1,268.94000000,0.780000,0.290000,,1.04000,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,49.42,9.630,V (Johnson),9.351,4864.00,0.49,0.86,2018-09-06,,McDonald Observatory
K2-116,b,K2-116 b,Transit,0,1,4.65541100,0.048000,0.060000,89.090,,,0.062,,0,0,1,0,22h24m36.39s,336.151611,-11d34m43.3s,-11.578691,49.46,49.46,10.910,V (Johnson),10.328,4348.35,0.69,0.67,2017-10-05,-23.4400,K2
HD 107148,b,HD 107148 b,Radial Velocity,0,1,48.05600000,0.269000,0.050000,,0.21000,Msini,,,0,0,0,0,12h19m13.49s,184.806213,-03d19m11.2s,-3.319789,49.49,49.49,8.015,V (Johnson),7.851,5797.00,1.12,,2014-05-14,75.0000,W. M. Keck Observatory
HD 100777,b,HD 100777 b,Radial Velocity,0,1,383.70001000,1.030000,0.360000,,1.03000,Msini,,,0,0,0,0,11h35m51.52s,173.964676,-04d45m20.5s,-4.755697,49.60,49.60,8.418,V (Johnson),8.239,5533.00,0.83,1.04,2018-09-06,,La Silla Observatory
HD 167042,b,HD 167042 b,Radial Velocity,0,1,420.77000000,1.320000,0.089000,,1.70000,Msini,,,0,0,0,0,18h10m31.64s,272.631836,+54d17m11.6s,54.286552,49.73,49.73,5.940,V (Johnson),5.708,4943.00,1.50,4.50,2014-05-14,85.7000,Lick Observatory
WASP-80,b,WASP-80 b,Transit,0,1,3.06785234,0.034400,0.002000,89.020,0.53800,Mass,0.999,0.71700,0,0,0,0,20h12m40.18s,303.167407,-02d08m39.1s,-2.144208,49.86,49.86,11.870,V (Johnson),11.273,4143.00,0.58,0.59,2015-04-16,94.0000,SuperWASP
